sample_id,file_path,modality,source,event,province,timestamp,original_label,mapped_label,is_vietnam,quality_flag,annotator_1,annotator_2,final_label,review_note,sha1
img_000001,dataset/image_data/raw/vietnam_collected/lu_mien_trung_2020/no_flood/no_flood_000001.jpg,image,vietnam_collected,lu_mien_trung_2020,QuangTri,2017-08-01T09:00:00,no_flood,no_flood,1,ok,LTNA,,no_flood,,8e280dee5101f21d416e915a81fe25637b7d4032
img_000002,dataset/image_data/raw/vietnam_collected/bao_noru_2022/no_flood/no_flood_000002.jpg,image,vietnam_collected,bao_noru_2022,QuangNam,2017-08-01T10:00:00,no_flood,no_flood,1,ok,LTNA,,no_flood,,8e280dee5101f21d416e915a81fe25637b7d4032
img_000003,dataset/image_data/raw/vietnam_collected/bao_yagi_2024/no_flood/no_flood_000003.jpg,image,vietnam_collected,bao_yagi_2024,QuangNinh,2017-08-01T11:00:00,no_flood,no_flood,1,ok,LTNA,,no_flood,,8e280dee5101f21d416e915a81fe25637b7d4032
img_000004,dataset/image_data/raw/vietnam_collected/ngap_can_tho_2019/no_flood/no_flood_000004.jpg,image,vietnam_collected,ngap_can_tho_2019,CanTho,2017-08-01T12:00:00,no_flood,no_flood,1,ok,LTNA,NNQ,no_flood,,8e280dee5101f21d416e915a81fe25637b7d4032
img_000005,dataset/image_data/raw/vietnam_collected/lu_nghe_an_2023/no_flood/no_flood_000005.jpg,image,vietnam_collected,lu_nghe_an_2023,NgheAn,2017-08-01T13:00:00,no_flood,no_flood,1,ok,LTNA,,no_flood,,8e280dee5101f21d416e915a81fe25637b7d4032
img_000006,dataset/image_data/raw/vietnam_collected/ngap_hcm_2022/no_flood/no_flood_000006.jpg,image,vietnam_collected,ngap_hcm_2022,HoChiMinh,2017-08-01T14:00:00,no_flood,no_flood,1,ok,LTNA,,no_flood,,8e280dee5101f21d416e915a81fe25637b7d4032
img_000007,dataset/image_data/raw/vietnam_collected/lu_mien_trung_2020/no_flood/no_flood_000007.jpg,image,vietnam_collected,lu_mien_trung_2020,QuangTri,2017-08-01T15:00:00,no_flood,no_flood,1,ok,LTNA,,no_flood,,8e280dee5101f21d416e915a81fe25637b7d4032
img_000008,dataset/image_data/raw/vietnam_collected/bao_noru_2022/no_flood/no_flood_000008.jpg,image,vietnam_collected,bao_noru_2022,QuangNam,2017-08-01T16:00:00,no_flood,no_flood,1,ok,LTNA,NNQ,no_flood,,8e280dee5101f21d416e915a81fe25637b7d4032
img_000009,dataset/image_data/raw/vietnam_collected/bao_yagi_2024/no_flood/no_flood_000009.jpg,image,vietnam_collected,bao_yagi_2024,QuangNinh,2017-08-01T17:00:00,no_flood,no_flood,1,ok,LTNA,,no_flood,,8e280dee5101f21d416e915a81fe25637b7d4032
img_000010,dataset/image_data/raw/vietnam_collected/ngap_can_tho_2019/no_flood/no_flood_000010.jpg,image,vietnam_collected,ngap_can_tho_2019,CanTho,2017-08-01T18:00:00,no_flood,no_flood,1,ok,LTNA,,no_flood,,8e280dee5101f21d416e915a81fe25637b7d4032
