sample_id,split,label,event,source,is_vietnam,src_path,dst_path
img_000092,train,no_flood,kerala_flood_2018,floodnet,0,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\floodnet\kerala_flood_2018\no_flood\no_flood_000092.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000092_b8667e57fb.jpg
img_000096,train,no_flood,kerala_flood_2018,floodnet,0,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\floodnet\kerala_flood_2018\no_flood\no_flood_000096.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000096_af986276f7.jpg
img_000100,train,no_flood,kerala_flood_2018,floodnet,0,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\floodnet\kerala_flood_2018\no_flood\no_flood_000100.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000100_aa3c50150f.jpg
img_000104,train,no_flood,kerala_flood_2018,floodnet,0,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\floodnet\kerala_flood_2018\no_flood\no_flood_000104.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000104_bde31978d4.jpg
img_000108,train,no_flood,kerala_flood_2018,floodnet,0,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\floodnet\kerala_flood_2018\no_flood\no_flood_000108.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000108_01964a4b36.jpg
img_000112,train,no_flood,kerala_flood_2018,floodnet,0,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\floodnet\kerala_flood_2018\no_flood\no_flood_000112.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000112_39251fbaac.jpg
img_000116,train,no_flood,kerala_flood_2018,floodnet,0,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\floodnet\kerala_flood_2018\no_flood\no_flood_000116.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000116_83fc24ea6c.jpg
img_000120,train,no_flood,kerala_flood_2018,floodnet,0,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\floodnet\kerala_flood_2018\no_flood\no_flood_000120.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000120_f66f0b8a79.jpg
img_000004,train,no_flood,ngap_can_tho_2019,vietnam_collected,1,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\vietnam_collected\ngap_can_tho_2019\no_flood\no_flood_000004.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000004_8ecced42dc.jpg
img_000010,train,no_flood,ngap_can_tho_2019,vietnam_collected,1,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\vietnam_collected\ngap_can_tho_2019\no_flood\no_flood_000010.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000010_191c5da8ae.jpg
img_000016,train,no_flood,ngap_can_tho_2019,vietnam_collected,1,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\vietnam_collected\ngap_can_tho_2019\no_flood\no_flood_000016.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000016_c9f39bf752.jpg
img_000022,train,no_flood,ngap_can_tho_2019,vietnam_collected,1,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\vietnam_collected\ngap_can_tho_2019\no_flood\no_flood_000022.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000022_eeb0b10303.jpg
img_000028,train,no_flood,ngap_can_tho_2019,vietnam_collected,1,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\vietnam_collected\ngap_can_tho_2019\no_flood\no_flood_000028.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000028_6408fac697.jpg
img_000034,train,no_flood,ngap_can_tho_2019,vietnam_collected,1,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\vietnam_collected\ngap_can_tho_2019\no_flood\no_flood_000034.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000034_5bd3fe34e2.jpg
img_000040,train,no_flood,ngap_can_tho_2019,vietnam_collected,1,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\vietnam_collected\ngap_can_tho_2019\no_flood\no_flood_000040.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000040_b23bf8c086.jpg
img_000046,train,no_flood,ngap_can_tho_2019,vietnam_collected,1,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\vietnam_collected\ngap_can_tho_2019\no_flood\no_flood_000046.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000046_c005bb0641.jpg
img_000052,train,no_flood,ngap_can_tho_2019,vietnam_collected,1,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\raw\vietnam_collected\ngap_can_tho_2019\no_flood\no_flood_000052.jpg,C:\Users\jhiny\Desktop\nckh2\dataset\image_data\processed\train\no_flood\img_000052_2daf211196.jpg
