parameter,level,config_id,tested_value,mean_ndcg_at_5,std_ndcg_at_5,median_ndcg_at_5,ci95_low,ci95_high,paired_delta_from_baseline,paired_delta_ci95_low,paired_delta_ci95_high,n_test_seeds,generator_version,candidate_bundle_sha256,source_commit,package_versions,metric_range_min,metric_range_max,metric_range_span,stable_under_0_01
b0,reference,baseline,-0.2,0.666889741,0.1174312792,0.6626228609,0.6305735858,0.7018339735,0,0,0,40,4.1.0,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,a6be3e988dad1aa442c8c8e158c2bba96b2b7fb9,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}",0.6653412746,0.6672056001,0.001864325432,True
b0,low,b0_low,-0.24,0.6672056001,0.1174576556,0.6626228609,0.6310095958,0.7021901143,0.0003158590356,0,0.0009475771069,40,4.1.0,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,a6be3e988dad1aa442c8c8e158c2bba96b2b7fb9,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}",0.6653412746,0.6672056001,0.001864325432,True
b0,high,b0_high,-0.16,0.6653412746,0.1174312371,0.6564130116,0.6290857373,0.7003605075,-0.001548466397,-0.00464539919,0,40,4.1.0,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,a6be3e988dad1aa442c8c8e158c2bba96b2b7fb9,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}",0.6653412746,0.6672056001,0.001864325432,True
b1,reference,baseline,1.4,0.666889741,0.1174312792,0.6626228609,0.6305735858,0.7018339735,0,0,0,40,4.1.0,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,a6be3e988dad1aa442c8c8e158c2bba96b2b7fb9,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}",0.666889741,0.6687435609,0.001853819917,True
b1,low,b1_low,1.12,0.6683574698,0.1156722818,0.655395717,0.6332868884,0.7026851246,0.001467728747,-0.003529334529,0.00715805878,40,4.1.0,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,a6be3e988dad1aa442c8c8e158c2bba96b2b7fb9,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}",0.666889741,0.6687435609,0.001853819917,True
b1,high,b1_high,1.68,0.6687435609,0.1125723794,0.6553879289,0.6342618254,0.7024494123,0.001853819917,-0.004044412536,0.008974631686,40,4.1.0,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,a6be3e988dad1aa442c8c8e158c2bba96b2b7fb9,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}",0.666889741,0.6687435609,0.001853819917,True
b2,reference,baseline,0.9,0.666889741,0.1174312792,0.6626228609,0.6305735858,0.7018339735,0,0,0,40,4.1.0,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,a6be3e988dad1aa442c8c8e158c2bba96b2b7fb9,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}",0.6666913392,0.6679335853,0.001242246094,True
b2,low,b2_low,0.72,0.6666913392,0.1178596726,0.6626228609,0.6304813537,0.701726908,-0.0001984018299,-0.001503177026,0.001156881274,40,4.1.0,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,a6be3e988dad1aa442c8c8e158c2bba96b2b7fb9,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}",0.6666913392,0.6679335853,0.001242246094,True
b2,high,b2_high,1.08,0.6679335853,0.1173679078,0.6708371115,0.6316383623,0.7028279755,0.001043844264,-0.0007333000814,0.003493215854,40,4.1.0,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,a6be3e988dad1aa442c8c8e158c2bba96b2b7fb9,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}",0.6666913392,0.6679335853,0.001242246094,True
omega_e,reference,baseline,0.34,0.666889741,0.1174312792,0.6626228609,0.6305735858,0.7018339735,0,0,0,40,4.1.0,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,a6be3e988dad1aa442c8c8e158c2bba96b2b7fb9,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}",0.6663433425,0.6714162251,0.005072882661,True
