seed,partition,n_destinations,retained_edge_fraction,mean_degree,threshold,n_split_incidents,n_extra_split_fragments,n_merged_destinations,n_fake_only_destinations,generator_version,seed_split,candidate_bundle_sha256,package_versions,config_identity,metric_direction
3000,product_cij,51,0.02293748178,8.899742931,0.2696554498,1,1,1,35,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}"
3000,additive_cij_matched_density,39,0.02397105982,9.300771208,0.5397842306,2,4,5,24,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}"
3000,oracle,16,,,,0,0,0,0,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}"
3001,product_cij,51,0.02329192547,9.107142857,0.2864583467,2,2,2,35,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}"
3001,additive_cij_matched_density,41,0.02386606817,9.331632653,0.5505759551,4,4,4,25,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}"
3001,oracle,16,,,,0,0,0,0,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}"
3002,product_cij,52,0.02434224599,9.104,0.2325472569,2,2,1,35,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}"
3002,additive_cij_matched_density,37,0.02525490196,9.445333333,0.5286238829,0,0,1,22,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}"
3002,oracle,16,,,,0,0,0,0,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}"
3003,product_cij,53,0.02418335174,8.536723164,0.2812739977,3,4,2,35,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}"
