dataset_id,seed,n_incidents,n_reports,n_genuine,n_duplicates,n_attacks
run_001,1,16,316,213,43,60
run_002,2,16,334,229,45,60
run_003,3,16,339,232,47,60
run_004,4,16,325,221,44,60
run_005,5,16,349,241,48,60
run_006,6,16,346,238,48,60
run_007,7,16,333,228,45,60
run_008,8,16,317,214,43,60
run_009,9,16,314,211,43,60
run_010,10,16,319,216,43,60
run_011,11,16,336,230,46,60
run_012,12,16,318,215,43,60
run_013,13,16,324,220,44,60
run_014,14,16,325,221,44,60
run_015,15,16,322,218,44,60
run_016,16,16,293,194,39,60
run_017,17,16,298,198,40,60
run_018,18,16,316,213,43,60
run_019,19,16,341,234,47,60
run_020,20,16,341,234,47,60
run_021,21,16,321,217,44,60
run_022,22,16,349,241,48,60
run_023,23,16,331,226,45,60
run_024,24,16,331,226,45,60
run_025,25,16,297,197,40,60
run_026,26,16,327,223,44,60
run_027,27,16,339,232,47,60
run_028,28,16,336,230,46,60
run_029,29,16,295,196,39,60
run_030,30,16,319,216,43,60
run_031,31,16,323,219,44,60
run_032,32,16,338,231,47,60
run_033,33,16,336,230,46,60
run_034,34,16,315,212,43,60
run_035,35,16,307,206,41,60
run_036,36,16,342,235,47,60
run_037,37,16,346,238,48,60
run_038,38,16,348,240,48,60
run_039,39,16,324,220,44,60
run_040,40,16,327,223,44,60
run_041,41,16,318,215,43,60
run_042,42,16,298,198,40,60
run_043,43,16,321,217,44,60
run_044,44,16,338,231,47,60
run_045,45,16,330,225,45,60
run_046,46,16,318,215,43,60
run_047,47,16,340,233,47,60
run_048,48,16,333,228,45,60
run_049,49,16,329,224,45,60
run_050,50,16,303,203,40,60
run_051,51,16,322,218,44,60
run_052,52,16,349,241,48,60
run_053,53,16,305,204,41,60
run_054,54,16,357,248,49,60
run_055,55,16,341,234,47,60
run_056,56,16,329,224,45,60
run_057,57,16,341,234,47,60
run_058,58,16,338,231,47,60
run_059,59,16,315,212,43,60
run_060,60,16,370,258,52,60
run_061,61,16,300,200,40,60
run_062,62,16,341,234,47,60
run_063,63,16,369,257,52,60
run_064,64,16,349,241,48,60
run_065,65,16,323,219,44,60
run_066,66,16,326,222,44,60
run_067,67,16,325,221,44,60
run_068,68,16,338,231,47,60
run_069,69,16,327,223,44,60
run_070,70,16,340,233,47,60
run_071,71,16,330,225,45,60
run_072,72,16,331,226,45,60
run_073,73,16,346,238,48,60
run_074,74,16,334,229,45,60
run_075,75,16,330,225,45,60
run_076,76,16,333,228,45,60
run_077,77,16,288,190,38,60
run_078,78,16,317,214,43,60
run_079,79,16,350,242,48,60
run_080,80,16,339,232,47,60
