scenario,method,ari_original_mean,ari_original_std,ari_original_count,pair_f1_original_mean,pair_f1_original_std,pair_f1_original_count,ari_all_mean,ari_all_std,ari_all_count,pair_f1_all_mean,pair_f1_all_std,pair_f1_all_count,fake_absorption_rate_all_mean,fake_absorption_rate_all_std,fake_absorption_rate_all_count,fake_rejection_rate_all_mean,fake_rejection_rate_all_std,fake_rejection_rate_all_count,genuine_rejection_rate_all_mean,genuine_rejection_rate_all_std,genuine_rejection_rate_all_count,false_destination_rate_all_mean,false_destination_rate_all_std,false_destination_rate_all_count,retained_edge_fraction_mean,retained_edge_fraction_std,retained_edge_fraction_count,mean_degree_mean,mean_degree_std,mean_degree_count
baseline,additive_cij_louvain,0.9190636765304436,0.06351413988704285,40,0.9247160489971332,0.05884813967100683,40,0.9190636765304436,0.06351413988704285,40,0.9247160489971332,0.05884813967100683,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,15.84435506658804,2.5769768485183016,40,0.028964715302829576,0.0016938881853416636,40,9.538173335166684,0.5404275065997671,40
baseline,additive_cij_louvain_matched_density,0.8973309471470072,0.06634710992778131,40,0.9045771296214401,0.06144075658597558,40,0.8973309471470072,0.06634710992778131,40,0.9045771296214401,0.06144075658597558,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,16.38141769865841,2.089727626196891,40,0.030205601708191816,0.0015455918506556985,40,9.935386024683899,0.12283518684088258,40
baseline,geo_time_dbscan,0.49781293337085913,0.12593402119638128,40,0.5450309919854096,0.11076778233470443,40,0.49781293337085913,0.12593402119638128,40,0.5450309919854096,0.11076778233470443,40,0.8333333333333334,5.2704627669473,40,0.0,0.0,40,0.0,0.0,40,23.93478396603397,5.809286819831335,40,,,0,,,0
baseline,product_cij_leiden,0.9164882806585426,0.06116570302517355,40,0.9222936536205099,0.056745163971950716,40,0.9164882806585426,0.06116570302517355,40,0.9222936536205099,0.056745163971950716,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,16.409937220502236,1.5893000726717241,40,0.030112101329638263,0.001558234689182556,40,9.904559861275393,0.13631576812630428,40
baseline,product_cij_louvain,0.9072205230334893,0.06601948117756182,40,0.9137748309909947,0.06108226137517311,40,0.9072205230334893,0.06601948117756182,40,0.9137748309909947,0.06108226137517311,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,16.490690574475405,1.8819135739816661,40,0.030112101329638263,0.001558234689182556,40,9.904559861275393,0.13631576812630428,40
exact_transport_copy_2x,additive_cij_louvain,0.9321755547453516,0.06218999071906521,40,0.9366056270653835,0.05809548407489757,40,0.9339582810505712,0.060551544324587016,40,0.9383891595341357,0.056455316441260506,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,16.472575285575015,2.1045526023832886,40,0.015606233437874336,0.0007848494352675165,40,10.284555113979263,0.23756852305990858,40
exact_transport_copy_2x,additive_cij_louvain_matched_density,0.9182703458020637,0.060286806142744266,40,0.9235981778111737,0.05637673190090076,40,0.9204102399481389,0.058652541002361926,40,0.9257386599647004,0.0547417413877401,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,16.802705292643374,2.085272229966372,40,0.01571475224555661,0.0008362457261532131,40,10.352338983924382,0.10730426128448377,40
exact_transport_copy_2x,geo_time_dbscan,0.49781293337085913,0.12593402119638128,40,0.5450309919854096,0.11076778233470443,40,0.5041609841119429,0.12595404613490208,40,0.5518492644750068,0.11046653364746259,40,0.8333333333333334,5.2704627669473,40,0.0,0.0,40,0.0,0.0,40,23.93478396603397,5.809286819831335,40,,,0,,,0
exact_transport_copy_2x,product_cij_leiden,0.9289076152266527,0.05615256692583549,40,0.9334346833437355,0.05256455312195231,40,0.9308125829925842,0.05465660851445068,40,0.9353399970337822,0.05106789306414707,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,16.925415724850374,2.3676081404842346,40,0.01574172711949654,0.0008390432230338939,40,10.370045057130607,0.10905476586419235,40
exact_transport_copy_2x,product_cij_louvain,0.9341624138106649,0.0541647391072821,40,0.9384334235826982,0.05059328526985477,40,0.9358878812284417,0.052776060446920244,40,0.9401593683402245,0.04920376508748106,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,16.95566121185316,2.093950093104186,40,0.01574172711949654,0.0008390432230338939,40,10.370045057130607,0.10905476586419235,40
