dimension,candidate,comparator,fixed,metric,direction,mean,standard_deviation,median,paired_confidence_interval,mean_difference_candidate_minus_comparator,raw_p_value,holm_adjusted_p_value,wilcoxon_statistic,n_seed_pairs,n_candidate_better,n_comparator_better,n_ties,effect_size.paired_standardized_mean,effect_size.matched_pairs_rank_biserial,effect_size.orientation,denominator.paired_seed_pairs,generator_version,seed_split,candidate_bundle_sha256,package_versions,config_identity,metric_direction,reanalysis_package_versions
policy,revised_priority,legacy_priority,"{""partition"": ""additive_cij_matched_density""}",latent_harm,lower,-15.35272702,38.39496172,-7.073321102,"[-26.969371674774987, -3.8158463348812433]",15.35272702,0.03944668134,0.3550201321,257,40,16,24,0,-0.3998630636,-0.3731707317,positive means candidate is better,40,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}","{""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""scipy"": ""1.18.0""}"
policy,revised_priority,legacy_priority,"{""partition"": ""additive_cij_matched_density""}",deadline_miss_rate,lower,0.01614583333,0.04310743531,0.02083333333,"[0.0031250000000000028, 0.029687500000000012]",-0.01614583333,0.01889541266,0.1889541266,150.5,40,23,10,7,0.3745486878,0.4634581105,positive means candidate is better,40,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}","{""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""scipy"": ""1.18.0""}"
policy,revised_priority,legacy_priority,"{""partition"": ""additive_cij_matched_density""}",mean_arrival_min,lower,-13.6459806,41.11223767,-5.78117625,"[-26.13012326831249, -1.5404034242291855]",13.6459806,0.08415465162,0.673237213,281,40,16,24,0,-0.3319201623,-0.3146341463,positive means candidate is better,40,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}","{""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""scipy"": ""1.18.0""}"
policy,revised_priority,legacy_priority,"{""partition"": ""additive_cij_matched_density""}",max_arrival_min,lower,-86.40787508,136.8592463,-75.94753192,"[-129.31461195522914, -45.527340291625016]",86.40787508,0.000452331873,0.005880314349,158,40,11,29,0,-0.6313630785,-0.6146341463,positive means candidate is better,40,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}","{""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""scipy"": ""1.18.0""}"
policy,revised_priority,legacy_priority,"{""partition"": ""additive_cij_matched_density""}",cvar90_arrival_min,lower,-75.91668998,113.9006935,-60.11688768,"[-110.88310152168745, -42.50064104539585]",75.91668998,0.0002981813923,0.004174539492,151,40,10,30,0,-0.6665164861,-0.6317073171,positive means candidate is better,40,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}","{""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""scipy"": ""1.18.0""}"
policy,revised_priority,legacy_priority,"{""partition"": ""additive_cij_matched_density""}",unique_population_reached_by_deadline_rate,higher,0.02483912875,0.04726765381,0.02438175696,"[0.010784087010250002, 0.03954251746027082]",0.02483912875,0.002823112526,0.03105423778,176,40,25,14,1,0.5254995065,0.5487179487,positive means candidate is better,40,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}","{""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""scipy"": ""1.18.0""}"
policy,revised_priority,legacy_priority,"{""partition"": ""additive_cij_matched_density""}",total_fleet_workload_min,lower,26.97366651,359.6221128,-10.93842683,"[-82.41201983958368, 136.00435139937505]",-26.97366651,0.6367651425,1,374,40,19,21,0,0.07500558378,0.08780487805,positive means candidate is better,40,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}","{""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""scipy"": ""1.18.0""}"
policy,revised_priority,legacy_priority,"{""partition"": ""additive_cij_matched_density""}",boat_workload_cv,lower,-0.001084491657,0.009076440708,-0.0004986148767,"[-0.0038082627415660215, 0.0016378318091606018]",0.001084491657,0.5448004511,1,364,40,19,21,0,-0.1194842441,-0.112195122,positive means candidate is better,40,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}","{""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""scipy"": ""1.18.0""}"
policy,revised_priority,legacy_priority,"{""partition"": ""additive_cij_matched_density""}",arrival_equity_gap_min,lower,-39.95795802,73.80899122,-45.84803915,"[-61.81143503108332, -16.757212541252073]",39.95795802,0.001230806833,0.01476968199,176,40,11,29,0,-0.5413697893,-0.5707317073,positive means candidate is better,40,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}","{""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""scipy"": ""1.18.0""}"
policy,revised_priority,legacy_priority,"{""partition"": ""additive_cij_matched_density""}",split_trips,lower,0,0,0,"[0.0, 0.0]",0,1,1,0,40,0,0,40,0,0,positive means candidate is better,40,4.1.0,test:3000-3039,a7c7a3f7ea63e57f1d98bd42f21c02aa04a69eaa37c824584a2be65f00f2d7e1,"{""numpy"": ""2.0.2"", ""pandas"": ""2.2.2"", ""python-louvain"": ""0.16"", ""scikit-learn"": ""1.6.1"", ""scipy"": ""1.16.3""}","{""additive"": {""calibration_objective"": 0.024220283682757516, ""knn"": 8, ""q"": 0.95}, ""error_model"": ""conservative-v1"", ""product"": {""knn"": 8, ""resolution"": 1.2, ""sigma_geo_m"": 900.0, ""tau_temp_min"": 60.0, ""threshold_quantile"": 0.95, ""track"": ""operational_label_free""}}","{""arrival_equity_gap_min"": ""lower"", ""boat_workload_cv"": ""lower"", ""cvar90_arrival_min"": ""lower"", ""deadline_miss_rate"": ""lower"", ""duplicate_dispatches"": ""lower"", ""fake_dispatches"": ""lower"", ""latent_harm"": ""lower"", ""max_arrival_min"": ""lower"", ""mean_arrival_min"": ""lower"", ""merge_caused_misses"": ""lower"", ""split_trips"": ""lower"", ""total_fleet_workload_min"": ""lower"", ""unique_population_reached_by_deadline_rate"": ""higher"", ""unserved_genuine_incidents"": ""lower""}","{""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""scipy"": ""1.18.0""}"
